fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 153520	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	569	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.433946213580537	0.601942873467719	1174	1263	13628	55354380.8095952	1
20240503 153710	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	97	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.699032955992322	0.768970050527894	1002	182	15039	45662070.4647676	2
20240503 153856	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	115	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.372786853025968	0.659344180567095	1502	902	14516	53677187.4062968	3
20240503 154116	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	444	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.557543001896456	0.827963346229255	243	1335	12922	53174269.8650675	4
20240503 154436	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	447	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.146489618205341	0.643518164399261	407	608	13960	58531154.4227886	5
20240503 154754	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.721664172158174	0.590759406187096	662	1693	14671	47679653.6731634	6
20240503 155105	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	890	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.613959555566506	0.737968807806613	1370	1467	11762	50695349.3253373	7
20240503 155317	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	355	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.177798768448619	0.850703344388468	602	1839	12977	59930709.1454273	8
20240503 155555	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	242	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.789147040189438	0.538048656328842	1055	795	12722	44202455.7721139	9
20240503 155942	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	541	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0772198539437911	0.813609707665355	375	394	12876	59032089.9550225	10
20240503 160215	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	81	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.283563478202694	0.516861363216807	1554	230	14369	57623854.5727136	11
20240503 161345	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2696	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102494564822728	0.781712917901177	1672	1009	10230	61091889.0554723	12
20240503 162044	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	416	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.539961454084867	0.887317717107265	2025	1063	11905	52811416.7916042	13
20240503 162316	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	608	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.22061834087665	0.69066811991133	102	1555	14133	56721000	14
20240503 162536	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.353963040111688	0.552823916941968	1814	1990	10609	56395188.9055472	15
