fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240506 151215	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.433946213580537	0.601942873467719	1174	1263	14094	51952002.9985007	1
20240506 151255	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.699032955992322	0.768970050527894	1002	182	14695	39057728.6356822	2
20240506 151333	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.372786853025968	0.659344180567095	1502	902	12884	55078734.6326837	3
20240506 151408	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.557543001896456	0.827963346229255	243	1335	13812	50394344.8275862	4
20240506 151503	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	144	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.146489618205341	0.643518164399261	407	608	13466	58139811.0944528	5
20240506 151543	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.721664172158174	0.590759406187096	662	1693	8689	41311650.6746627	6
20240506 151617	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.613959555566506	0.737968807806613	1370	1467	12985	47558043.4782609	7
20240506 151647	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.177798768448619	0.850703344388468	602	1839	15545	49806799.1004498	8
20240506 151734	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.789147040189438	0.538048656328842	1055	795	18015	46432961.0194903	9
20240506 151838	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	105	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0772198539437911	0.813609707665355	375	394	13222	59588632.6836582	10
20240506 151958	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	154	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.283563478202694	0.516861363216807	1554	230	12279	58152625.1874063	11
20240506 152516	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3116	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102494564822728	0.781712917901177	1672	1009	11027	60224907.0464768	12
20240506 152728	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.539961454084867	0.887317717107265	2025	1063	11329	52484844.077961	13
20240506 152801	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.22061834087665	0.69066811991133	102	1555	16922	54813070.4647676	14
20240506 152849	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.353963040111688	0.552823916941968	1814	1990	12597	55614217.3913044	15
20240506 152939	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	156	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.47451124474062	0.718585774323633	871	529	10446	52684788.6056972	16
20240506 153058	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	120	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0338175694909415	0.59601038223209	1386	367	11984	59842002.9985007	17
20240506 153321	1259	68819	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	816	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100084053217849	0.687088547201577	297	723	10538	59438593.7031484	18
