fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240506 171031	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.433946213580537	0.601942873467719	1174	1263	9692	57416653.6731634	1
20240506 171204	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.699032955992322	0.768970050527894	1002	182	14726	47885388.3058471	2
20240506 171458	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.372786853025968	0.659344180567095	1502	902	11888	55216659.6701649	3
20240506 171733	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	49	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.557543001896456	0.827963346229255	243	1335	11897	51041953.5232384	4
20240506 172308	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	374	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.146489618205341	0.643518164399261	407	608	12680	61258050.9745127	5
20240506 172848	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	426	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.721664172158174	0.590759406187096	662	1693	11957	55341533.7331334	6
20240506 173154	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.613959555566506	0.737968807806613	1370	1467	11356	55450080.9595202	7
20240506 173616	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	431	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.177798768448619	0.850703344388468	602	1839	13359	58154904.047976	8
20240506 173920	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.789147040189438	0.538048656328842	1055	795	15056	49177007.4962519	9
20240506 174359	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	201	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0772198539437911	0.813609707665355	375	394	12950	59709220.3898051	10
20240506 174927	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	177	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.283563478202694	0.516861363216807	1554	230	12552	57712095.952024	11
20240506 181015	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2682	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102494564822728	0.781712917901177	1672	1009	13505	61644460.2698651	12
20240506 181741	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	87	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.539961454084867	0.887317717107265	2025	1063	11213	51794403.2983508	13
20240506 182004	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	99	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.22061834087665	0.69066811991133	102	1555	11403	59370610.1949025	14
20240506 182504	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.353963040111688	0.552823916941968	1814	1990	12297	55169329.8350825	15
20240506 182825	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.47451124474062	0.718585774323633	871	529	12803	56941884.5577211	16
20240506 183910	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1102	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0252743429467312	0.593156867123198	905	986	13090	60932818.5907046	17
20240506 184444	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	410	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0622435724178543	0.647201427126407	1142	869	10294	59436740.6296852	18
20240506 185717	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1413	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100197146856727	0.699780291286395	372	1111	11636	61727022.4887556	19
20240506 191132	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1669	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100209805662131	0.704514048217132	137	1161	11809	62126823.0884558	20
20240506 191830	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100998219437188	0.552094633052697	10	1820	14043	52806352.3238381	21
20240506 192138	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	250	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.127281504957475	0.828243975873164	115	1187	10815	58952961.0194903	22
20240506 194126	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2713	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101770997298154	0.853897209834848	1184	1200	13809	61263854.5727136	23
20240506 194342	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102168876382618	0.880957480600211	8	984	13846	50487787.1064468	24
20240506 195133	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	877	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.034172373977271	0.727856184231934	1634	1236	12391	61360973.0134933	25
20240506 200714	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2031	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0103256003757627	0.793381132361042	1239	1244	12245	61384340.3298351	26
20240506 201026	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0974189166653861	0.708038071084935	884	1178	11687	60244367.3163418	27
20240506 202055	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	747	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0249228061336751	0.692127292636142	775	475	13302	61332440.7796102	28
20240506 202452	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	138	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.149817096825581	0.694136310193222	366	415	12150	59490689.6551724	29
20240506 203840	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1683	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102760640320189	0.757974262657412	1359	1177	13115	61628073.4632684	30
20240506 204925	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1325	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0223810853080613	0.832332000140269	2047	1203	11266	60886497.7511244	31
20240506 210302	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1056	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0103307612913347	0.755866654221123	1730	580	14436	60934758.6206897	32
20240506 212223	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1931	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102052712853623	0.596975892208019	352	580	13566	60855643.1784108	33
20240506 214722	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3666	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100217545832714	0.645120723248977	338	1190	12233	60759830.5847076	34
20240506 220038	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1462	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100436518775688	0.768565261127489	1499	1149	11245	62031956.5217391	35
20240506 221417	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3690	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100332789987134	0.711276900674908	51	636	12313	60872154.4227886	36
20240506 222627	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1495	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0113022325856028	0.851589563318237	1414	1472	12011	62019773.6131934	37
20240506 224016	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3047	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100760358241998	0.717418332923603	64	1389	10461	61795950.5247376	38
20240506 224905	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	585	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0309554205374626	0.626646834685302	1732	519	12738	59904980.5097451	39
20240506 225248	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	204	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0745978115659297	0.849031837833286	1411	1368	10738	61057664.167916	40
20240506 230353	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1377	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101260770484721	0.729257430747325	1689	1567	11356	61325823.0884558	41
