cp	max_depth	min_split	min_bucket	ganancia_promedio
-10	5	10	10	44750000
-10	5	20	20	42960000
-10	5	30	30	43320000
-10	5	40	40	43320000
-10	5	50	50	43020000
-10	5	60	60	41660000
-10	5	70	70	41660000
-10	5	80	80	45130000
-10	5	100	100	45420000
-10	5	200	200	46530000
-10	5	200	100	45420000
-10	5	300	300	46450000
-10	5	300	200	46530000
-10	5	400	400	45930000
-10	5	400	300	46450000
-10	5	400	200	46530000
-10	5	500	500	45140000
-10	5	500	400	45930000
-10	5	500	300	46450000
-10	5	600	600	46080000
-10	5	600	500	45140000
-10	5	600	400	45930000
-10	5	600	300	46450000
-10	5	700	700	44650000
-10	5	700	600	46080000
-10	5	700	500	45140000
-10	5	700	400	45930000
-10	5	800	800	45020000
-10	5	800	700	44650000
-10	5	800	600	46080000
-10	5	800	500	45140000
-10	5	800	400	45930000
-10	5	900	900	47340000
-10	5	900	800	45020000
-10	5	900	700	44650000
-10	5	900	600	46080000
-10	5	900	500	45140000
-10	5	1000	1000	47910000
-10	5	1000	900	47340000
-10	5	1000	800	45020000
-10	5	1000	700	44650000
-10	5	1000	600	46080000
-10	5	1000	500	45140000
-10	5	1100	1100	45120000
-10	5	1100	1000	47910000
-10	5	1100	900	47340000
-10	5	1100	800	45020000
-10	5	1100	700	44650000
-10	5	1100	600	46080000
-10	5	1200	1200	45120000
-10	5	1200	1100	45120000
-10	5	1200	1000	47910000
-10	5	1200	900	47340000
-10	5	1200	800	45020000
-10	5	1200	700	44650000
-10	5	1200	600	46080000
-10	5	1500	1500	45750000
-10	5	1500	1400	44760000
-10	5	1500	1300	45070000
-10	5	1500	1200	45120000
-10	5	1500	1100	45120000
-10	5	1500	1000	47910000
-10	5	1500	900	47340000
-10	5	1500	800	45020000
-10	5	2000	2000	47700000
-10	5	2000	1900	47450000
-10	5	2000	1800	47720000
-10	5	2000	1700	47270000
-10	5	2000	1600	47720000
-10	5	2000	1500	45750000
-10	5	2000	1400	44760000
-10	5	2000	1300	45070000
-10	5	2000	1200	45120000
-10	5	2000	1100	45120000
-10	5	2000	1000	47910000
